Stimulus_Side,ITI,Priming_Interval,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
LEFT,1383.3333361,783.3333349000001,,,,,LEFT,302.68206900007044,2019-06-04 16:36:24.960220,2019-06-04 16:36:25.473682,1
RIGHT,1166.666669,366.6666674,,,RIGHT,-130.716,RIGHT,284.4174550000389,2019-06-04 16:36:27.052593,2019-06-04 16:36:27.550388,2
RIGHT,833.333335,150.0000003,,,,,LEFT,66.12047099997653,2019-06-04 16:36:28.591751,2019-06-04 16:36:28.874103,3
LEFT,616.6666679,683.3333347,,,LEFT,-380.34000000000003,LEFT,252.44754099992406,2019-06-04 16:36:30.215426,2019-06-04 16:36:30.682461,4
RIGHT,1383.3333361,900.0000018000001,,,,,RIGHT,275.4620770000429,2019-06-04 16:36:33.009731,2019-06-04 16:36:33.497640,5
LEFT,1050.0000021,583.3333345,,,RIGHT,-252.415,LEFT,228.13630699999976,2019-06-04 16:36:35.176048,2019-06-04 16:36:35.615794,6
LEFT,950.0000019,266.6666672,,,,,LEFT,263.8080259999924,2019-06-04 16:36:36.886763,2019-06-04 16:36:37.364409,7
RIGHT,950.0000019,683.3333347,,,RIGHT,-346.47299999999996,RIGHT,74.26796400000057,2019-06-04 16:36:39.061262,2019-06-04 16:36:39.358332,8
RIGHT,1050.0000021,783.3333349000001,,,RIGHT,-410.912,RIGHT,233.59579600003144,2019-06-04 16:36:41.232982,2019-06-04 16:36:41.683735,9
LEFT,500.000001,366.6666674,,,,,LEFT,285.48319599997285,2019-06-04 16:36:42.595978,2019-06-04 16:36:43.103896,10
RIGHT,616.6666679,583.3333345,,,,,RIGHT,421.763564999992,2019-06-04 16:36:44.355887,2019-06-04 16:36:44.998417,11
LEFT,1166.666669,50.0000001,,,,,LEFT,434.6544869999889,2019-06-04 16:36:46.258912,2019-06-04 16:36:46.914009,12
RIGHT,500.000001,1000.000002,,,LEFT,-332.306,RIGHT,301.54629799994837,2019-06-04 16:36:48.457778,2019-06-04 16:36:48.977127,13
LEFT,1283.3333359,1000.000002,,,,,LEFT,364.02850100000705,2019-06-04 16:36:51.321161,2019-06-04 16:36:51.903577,14
LEFT,716.6666681,900.0000018000001,LEFT,-140.62,LEFT,-180.398,LEFT,240.32879399999274,2019-06-04 16:36:53.580992,2019-06-04 16:36:54.037809,15
LEFT,1500.000003,466.6666676,,,,,LEFT,289.1506810000237,2019-06-04 16:36:56.047106,2019-06-04 16:36:56.558181,16
LEFT,833.333335,150.0000003,,,,,LEFT,314.017046999993,2019-06-04 16:36:57.587573,2019-06-04 16:36:58.111849,17
RIGHT,716.6666681,266.6666672,,,,,RIGHT,325.0978789999408,2019-06-04 16:36:59.142030,2019-06-04 16:36:59.677748,18
RIGHT,1500.000003,50.0000001,,,,,RIGHT,519.2696009999054,2019-06-04 16:37:01.258824,2019-06-04 16:37:01.990572,19
RIGHT,1283.3333359,466.6666676,,,,,RIGHT,282.93803200006096,2019-06-04 16:37:03.770957,2019-06-04 16:37:04.277939,20
