Stimulus_Side,ITI,Priming_Interval,Conflict,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
LEFT,1166.666669,366.6666674,900.0000018000001,,,,,LEFT,417.30459999996583,2019-10-08 16:02:13.478601,2019-10-08 16:02:14.111568,1
RIGHT,1050.0000021,900.0000018000001,783.3333349000001,,,,,RIGHT,441.40489999995225,2019-10-08 16:02:16.096060,2019-10-08 16:02:16.754691,2
LEFT,500.000001,683.3333347,150.0000003,,,,,LEFT,373.48819999999705,2019-10-08 16:02:17.972544,2019-10-08 16:02:18.559641,3
RIGHT,616.6666679,266.6666672,900.0000018000001,,,,,RIGHT,420.16030000002047,2019-10-08 16:02:19.470561,2019-10-08 16:02:20.107950,4
LEFT,616.6666679,150.0000003,1000.000002,,,,,LEFT,468.15779999997176,2019-10-08 16:02:20.910231,2019-10-08 16:02:21.594597,5
LEFT,1500.000003,466.6666676,366.6666674,,,,,LEFT,318.80290000003697,2019-10-08 16:02:23.606538,2019-10-08 16:02:24.141503,6
RIGHT,716.6666681,1000.000002,466.6666676,,,,,RIGHT,284.8488000000202,2019-10-08 16:02:25.910566,2019-10-08 16:02:26.423559,7
RIGHT,1166.666669,150.0000003,1000.000002,,,,,RIGHT,375.60819999998785,2019-10-08 16:02:27.790649,2019-10-08 16:02:28.391058,8
LEFT,716.6666681,783.3333349000001,266.6666672,,,,,LEFT,297.20930000002,2019-10-08 16:02:29.920887,2019-10-08 16:02:30.435038,9
LEFT,950.0000019,583.3333345,783.3333349000001,,,,,LEFT,279.38729999999623,2019-10-08 16:02:32.004507,2019-10-08 16:02:32.500435,10
RIGHT,833.333335,50.0000001,150.0000003,,,,,RIGHT,510.8003999999937,2019-10-08 16:02:33.423198,2019-10-08 16:02:34.143544,11
LEFT,1050.0000021,266.6666672,683.3333347,,,,,LEFT,295.6780999999751,2019-10-08 16:02:35.494397,2019-10-08 16:02:36.006673,12
RIGHT,1283.3333359,583.3333345,583.3333345,,,,,RIGHT,271.70580000000655,2019-10-08 16:02:37.926481,2019-10-08 16:02:38.411320,13
RIGHT,950.0000019,783.3333349000001,50.0000001,,,,,RIGHT,248.6493999999766,2019-10-08 16:02:40.190988,2019-10-08 16:02:40.666697,14
RIGHT,1383.3333361,366.6666674,266.6666672,,,,,RIGHT,350.85359999999355,2019-10-08 16:02:42.465015,2019-10-08 16:02:43.042026,15
LEFT,1283.3333359,900.0000018000001,466.6666676,,,,,LEFT,301.46120000000565,2019-10-08 16:02:45.266434,2019-10-08 16:02:45.784892,16
RIGHT,1500.000003,683.3333347,366.6666674,,,,,RIGHT,260.90990000000147,2019-10-08 16:02:48.014716,2019-10-08 16:02:48.491020,17
RIGHT,500.000001,466.6666676,683.3333347,,,,,RIGHT,321.3081000000102,2019-10-08 16:02:49.509629,2019-10-08 16:02:50.044104,18
LEFT,833.333335,1000.000002,583.3333345,,,,,LEFT,272.30729999996584,2019-10-08 16:02:51.913787,2019-10-08 16:02:52.398798,19
LEFT,1383.3333361,50.0000001,50.0000001,,,,,LEFT,416.7256999999722,2019-10-08 16:02:53.869114,2019-10-08 16:02:54.509060,20
