Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
LEFT,1050.0000021,False,,,,LEFT,278.8397050000526,2019-06-04 16:33:33.078475,2019-06-04 16:33:33.571892,1
RIGHT,950.0000019,True,16.6666667,,,RIGHT,276.16395969998126,2019-06-04 16:33:34.548484,2019-06-04 16:33:35.044077,2
LEFT,833.333335,False,,,,LEFT,386.0974119999696,2019-06-04 16:33:35.911867,2019-06-04 16:33:36.519366,3
RIGHT,1166.666669,False,,,,RIGHT,442.38551600000164,2019-06-04 16:33:37.713624,2019-06-04 16:33:38.383206,4
LEFT,1383.3333361,False,,,,LEFT,385.8112660000188,2019-06-04 16:33:39.794467,2019-06-04 16:33:40.394714,5
RIGHT,1383.3333361,True,133.3333336,,,RIGHT,378.4115855999848,2019-06-04 16:33:41.807898,2019-06-04 16:33:42.413945,6
RIGHT,500.000001,False,,,,RIGHT,473.95751700003075,2019-06-04 16:33:42.926444,2019-06-04 16:33:43.622968,7
RIGHT,1283.3333359,False,,,,RIGHT,462.01778400001103,2019-06-04 16:33:44.934218,2019-06-04 16:33:45.608441,8
LEFT,1166.666669,True,66.6666668,,,Time_Max_Exceeded,1500.114427800025,2019-06-04 16:33:46.801135,2019-06-04 16:33:48.306879,9
LEFT,500.000001,False,,,,LEFT,386.12199200002806,2019-06-04 16:33:48.852576,2019-06-04 16:33:49.448487,10
RIGHT,833.333335,False,,,,RIGHT,436.5948970000204,2019-06-04 16:33:50.306466,2019-06-04 16:33:50.954988,11
LEFT,950.0000019,False,,,,LEFT,324.09706499998947,2019-06-04 16:33:51.931221,2019-06-04 16:33:52.475818,12
LEFT,716.6666681,True,200.0000004,,,LEFT,365.59335139998404,2019-06-04 16:33:53.219323,2019-06-04 16:33:53.815857,13
RIGHT,1500.000003,False,,,,RIGHT,515.2051289999804,2019-06-04 16:33:55.350100,2019-06-04 16:33:56.075473,14
RIGHT,716.6666681,False,,,,RIGHT,345.34742299996424,2019-06-04 16:33:56.817266,2019-06-04 16:33:57.379645,15
LEFT,616.6666679,False,,,,LEFT,310.3801700000304,2019-06-04 16:33:58.007378,2019-06-04 16:33:58.533114,16
LEFT,1500.000003,False,,,,LEFT,454.13463900001716,2019-06-04 16:34:00.049576,2019-06-04 16:34:00.714250,17
RIGHT,616.6666679,True,250.0000005,,,RIGHT,441.9637195000003,2019-06-04 16:34:01.361122,2019-06-04 16:34:02.023965,18
LEFT,1283.3333359,False,,,,LEFT,271.30809799996314,2019-06-04 16:34:03.321516,2019-06-04 16:34:03.814119,19
RIGHT,1050.0000021,False,,,,RIGHT,278.14544299997124,2019-06-04 16:34:04.887796,2019-06-04 16:34:05.377002,20
RIGHT,1166.666669,False,,,,RIGHT,571.9194370000196,2019-06-04 16:34:06.582543,2019-06-04 16:34:07.371608,21
RIGHT,833.333335,False,,,,RIGHT,390.14472300004854,2019-06-04 16:34:08.234657,2019-06-04 16:34:08.846913,22
RIGHT,1500.000003,False,,,,RIGHT,503.7231379999412,2019-06-04 16:34:10.357413,2019-06-04 16:34:11.074490,23
RIGHT,616.6666679,False,,,,RIGHT,350.656650000019,2019-06-04 16:34:11.718371,2019-06-04 16:34:12.286251,24
LEFT,1283.3333359,False,,,,RIGHT,399.0087399999993,2019-06-04 16:34:13.598438,2019-06-04 16:34:14.218790,25
LEFT,950.0000019,False,,,,LEFT,592.9017369999201,2019-06-04 16:34:15.195425,2019-06-04 16:34:16.001943,26
RIGHT,1383.3333361,True,0.0,,,Time_Max_Exceeded,1500.1024929999858,2019-06-04 16:34:17.414711,2019-06-04 16:34:18.914234,27
LEFT,833.333335,False,,,,Time_Max_Exceeded,1500.1502610000443,2019-06-04 16:34:19.771505,2019-06-04 16:34:21.272116,28
LEFT,1050.0000021,False,,,,LEFT,1248.7642880000749,2019-06-04 16:34:22.347449,2019-06-04 16:34:23.808591,29
LEFT,1383.3333361,False,,,,Time_Max_Exceeded,1500.0728119999849,2019-06-04 16:34:25.218254,2019-06-04 16:34:26.718446,30
LEFT,1166.666669,True,50.0000001,,,LEFT,352.7279821000786,2019-06-04 16:34:27.905658,2019-06-04 16:34:28.489679,31
LEFT,716.6666681,True,33.3333334,,,Time_Max_Exceeded,1500.1613294000063,2019-06-04 16:34:29.252252,2019-06-04 16:34:30.760694,32
RIGHT,1050.0000021,False,,,,RIGHT,399.52816099992106,2019-06-04 16:34:31.845651,2019-06-04 16:34:32.455563,33
RIGHT,500.000001,True,50.0000001,,,Time_Max_Exceeded,1500.0840811,2019-06-04 16:34:32.980561,2019-06-04 16:34:34.484990,34
LEFT,500.000001,False,,,,LEFT,915.333407999924,2019-06-04 16:34:35.004880,2019-06-04 16:34:36.132612,35
RIGHT,950.0000019,True,66.6666668,,,Time_Max_Exceeded,1500.125093800005,2019-06-04 16:34:37.110694,2019-06-04 16:34:38.615480,36
RIGHT,1283.3333359,False,,,,Time_Max_Exceeded,1500.0922899999978,2019-06-04 16:34:39.933795,2019-06-04 16:34:41.434321,37
LEFT,1500.000003,False,,,,Time_Max_Exceeded,1500.0922899999978,2019-06-04 16:34:42.952702,2019-06-04 16:34:44.452823,38
LEFT,616.6666679,False,,,,LEFT,1395.2568500000098,2019-06-04 16:34:45.084762,2019-06-04 16:34:46.690285,39
RIGHT,716.6666681,False,,,,Time_Max_Exceeded,1500.108522000005,2019-06-04 16:34:47.434771,2019-06-04 16:34:48.934807,40
